mode_of_transport,day,time,impacts,illumination_effect,campaign_name,frame,quarter_of_hour
2,1,29,9.9837119699,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-21 13:00:00
2,1,32,28.5045310436,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-21 13:45:00
2,1,36,2.2733272768,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-21 14:45:00
2,1,37,6.8907354601,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-21 15:00:00
2,1,39,15.0846012469,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-21 15:30:00
2,1,40,4.5467948176,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-21 15:45:00
2,1,41,9.2477221484,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-21 16:00:00
2,1,42,8.0225890583,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-21 16:15:00
2,1,43,25.1839754335,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-21 16:30:00
2,1,44,19.9706217777,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-21 16:45:00
2,1,45,28.7801363956,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-21 17:00:00
2,1,46,2.3569804601,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-21 17:15:00
2,1,47,0.3656239441,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-21 17:30:00
2,1,48,9.370785194,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-21 17:45:00
2,1,49,17.6363271426,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-21 18:00:00
2,1,50,19.1791015358,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-21 18:15:00
2,1,51,12.5208625357,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-21 18:30:00
2,1,52,46.3876260624,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-21 18:45:00
2,1,53,32.3393192627,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-21 19:00:00
2,1,54,10.8329693899,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-21 19:15:00
2,1,55,32.4280293563,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-21 19:30:00
2,1,56,5.5966802831,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-21 19:45:00
2,1,57,0.1468820203,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-21 20:00:00
2,1,58,0.4055919827,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-21 20:15:00
2,1,59,18.2942300386,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-21 20:30:00
2,1,60,20.0821192468,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-21 20:45:00
2,1,63,13.3213698874,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-21 21:30:00
2,1,64,1.3015582064,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-21 21:45:00
2,1,65,1.0250181863,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-21 22:00:00
2,1,66,8.0977441283,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-21 22:15:00
2,1,67,12.0269479119,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-21 22:30:00
2,1,71,0.7761989328,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-21 23:30:00
2,1,72,5.8371367692,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-21 23:45:00
2,1,73,4.2778273598,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-22 00:00:00
2,1,77,0.1715172514,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-22 01:00:00
2,1,78,0.0123349558,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-22 01:15:00
2,1,84,0.0367740599,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-22 02:45:00
2,1,89,0.0616056425,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-22 04:00:00
